datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
6/1/1980 17:00,-46.7,,40.5,40.5
5/1/1980 17:00,40.5,,-5.1,-5.1
4/1/1980 17:00,-5.1,,20.3,20.3
3/1/1980 17:00,20.3,,22.7,22.7
2/1/1980 17:00,22.7,,18.6,18.6
1/1/1980 17:00,18.6,,32.3,32.3
12/1/1979 17:00,32.3,,52.5,52.5
11/1/1979 17:00,52.5,,14.4,14.4
10/1/1979 17:00,14.4,,40,40
9/1/1979 17:00,40,,56.7,56.7
8/1/1979 17:00,56.7,,34,34
7/1/1979 17:00,34,,50.6,50.6
6/1/1979 17:00,50.6,,24.9,24.9
5/1/1979 17:00,24.9,,45.9,45.9
4/1/1979 17:00,45.9,,6.9,6.9
3/1/1979 17:00,6.9,,54.8,54.8
2/1/1979 17:00,54.8,,41.1,41.1
1/1/1979 17:00,41.1,,18.4,18.4
12/1/1978 17:00,18.4,,63.3,63.3
11/1/1978 17:00,63.3,,18,18
10/1/1978 17:00,18,,32.5,32.5
9/1/1978 17:00,32.5,,47.4,47.4
8/1/1978 17:00,47.4,,60.9,60.9
7/1/1978 17:00,60.9,,18,18
6/1/1978 17:00,18,,28.4,28.4
5/1/1978 17:00,28.4,,32.8,32.8
4/1/1978 17:00,32.8,,54.5,54.5
3/1/1978 17:00,54.5,,10.7,10.7
2/1/1978 17:00,10.7,,26,26
1/1/1978 17:00,26,,14.2,14.2
