datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2000-04-01 17:00:00,0.30,,-0.2,-0.20,0.0
2000-03-01 17:00:00,-0.20,,-0.5,-0.50,0.0
2000-02-01 17:00:00,-0.50,,-0.4,-0.40,0.0
2000-01-01 17:00:00,-0.40,,0.8,0.80,0.0
1999-12-01 17:00:00,0.80,,-0.3,-0.30,0.0
1999-11-01 17:00:00,-0.30,,0.9,0.90,0.0
1999-10-01 17:00:00,0.90,,1.9,1.90,0.0
1999-09-01 17:00:00,1.90,,-0.2,-0.20,0.0
1999-08-01 17:00:00,-0.20,,0.1,0.10,0.0
1999-07-01 17:00:00,0.10,,0.3,0.30,0.0
1999-06-01 17:00:00,0.30,,0.7,0.70,0.0
1999-05-01 17:00:00,0.70,,0.8,0.80,0.0
1999-04-01 17:00:00,0.80,,-0.5,-0.50,0.0
1999-03-01 17:00:00,-0.50,,3.8,3.80,0.0
1999-02-01 17:00:00,3.80,,-0.6,-0.60,0.0
1999-01-01 17:00:00,-0.60,,-0.4,-0.40,0.0
1998-12-01 17:00:00,-0.40,,0.8,0.80,0.0
1998-11-01 17:00:00,0.80,,0.7,0.70,0.0
1998-10-01 17:00:00,0.70,,0.1,0.10,0.0
1998-09-01 17:00:00,0.10,,1.2,1.20,0.0
1998-08-01 17:00:00,1.20,,0.2,0.20,0.0
1998-07-01 17:00:00,0.20,,0.6,0.60,0.0
1998-06-01 17:00:00,0.60,,0.6,0.60,0.0
1998-05-01 17:00:00,0.60,,-0.1,-0.10,0.0
1998-04-01 17:00:00,-0.10,,-0.5,-0.50,0.0
1998-03-01 17:00:00,-0.50,,0.6,0.60,0.0
1998-02-01 17:00:00,0.60,,0.0,0.00,0.0
1998-01-01 17:00:00,0.00,,0.9,0.90,0.0
1997-12-01 17:00:00,0.90,,0.0,0.00,0.0
1997-11-01 17:00:00,0.00,,0.8,0.80,0.0
1997-10-01 17:00:00,0.80,,0.1,0.10,0.0
1997-09-01 17:00:00,0.10,,0.9,0.90,0.0
1997-08-01 17:00:00,0.90,,-0.3,-0.30,0.0
1997-07-01 17:00:00,-0.30,,1.9,1.90,0.0
1997-06-01 17:00:00,1.90,,-1.3,-1.30,0.0
1997-05-01 17:00:00,-1.30,,-0.4,-0.40,0.0
1997-04-01 17:00:00,-0.40,,1.8,1.80,0.0
1997-03-01 17:00:00,1.80,,0.7,0.70,0.0
1997-02-01 17:00:00,0.70,,0.5,0.50,0.0
1997-01-01 17:00:00,0.50,,0.4,0.40,0.0
1996-12-01 17:00:00,0.40,,0.4,0.40,0.0
1996-11-01 17:00:00,0.40,,-1.0,-1.00,0.0
1996-10-01 17:00:00,-1.00,,-0.4,-0.40,0.0
1996-09-01 17:00:00,-0.40,,0.2,0.20,0.0
1996-08-01 17:00:00,0.20,,1.3,1.30,0.0
1996-07-01 17:00:00,1.30,,-0.1,-0.10,0.0
1996-06-01 17:00:00,-0.10,,0.7,0.70,0.0
