datetime,US_EHOIC_WoW_Actual,US_EHOIC_WoW_Srv_Med,US_EHOIC_WoW_Revised,US_EHOIC_WoW_Prior
2016-11-23 23:30:00,-0.012,,0.429,0.429
2016-11-16 23:30:00,0.429,,-0.141,-0.141
2016-11-09 23:30:00,-0.141,,0.118,0.118
2016-11-02 22:30:00,0.118,,0.457,0.457
2016-10-26 22:30:00,0.457,,0.8,0.8
2016-10-19 22:30:00,0.8,,0.7,0.7
2016-10-13 23:00:00,0.7,,0.01,0.01
2016-10-05 22:30:00,0.01,,0.341,0.341
2016-09-28 22:30:00,0.341,,0.119,0.119
2016-09-21 22:30:00,0.119,,0.457,0.457
2016-09-14 22:30:00,0.457,,0.019,0.019
2016-09-08 23:00:00,0.019,,-0.376,-0.376
2016-08-31 22:30:00,-0.376,,-0.274,-0.274
2016-08-24 22:30:00,-0.274,,0.68,
